Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Gain,Size,Unprocessed Accuracy,Processed Accuracy
0,0,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
0,0,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
0,0,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
0,1,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
0,1,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
0,1,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
0,3,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
0,3,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
1,0,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
1,0,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
1,1,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
1,1,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
1,1,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
1,3,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
1,3,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
2,1,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
2,1,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
2,1,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
2,2,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
2,2,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
2,2,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
2,3,daheng_12mm,100,50,45,45,100,5,Big,0.0,0.0
2,3,daheng_12mm,100,50,45,45,100,5,Medium,0.0,0.0
2,3,daheng_12mm,100,50,45,45,100,5,Small,0.0,0.0
0,0,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
0,0,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
0,0,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
0,1,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
0,1,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
0,1,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
0,2,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
0,3,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
0,3,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
0,3,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
1,0,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
1,0,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
1,0,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
1,1,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
1,1,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
1,1,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
1,2,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
1,3,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
1,3,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
1,3,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
2,0,daheng_12mm,100,50,45,45,100,10,Small,0.0,0.0
2,1,daheng_12mm,100,50,45,45,100,10,Big,0.0,0.0
2,1,daheng_12mm,100,50,45,45,100,10,Medium,0.0,0.0
