Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Size,Unprocessed Accuracy,Processed Accuracy
0,0,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
0,0,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
0,0,daheng_12mm,100,0,0,0,100,Small,1.0,0.4
0,1,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
0,1,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
0,1,daheng_12mm,100,0,0,0,100,Small,0.0,0.16666666666666666
0,2,daheng_12mm,100,0,0,0,100,Big,0.0,1.0
0,2,daheng_12mm,100,0,0,0,100,Medium,0.0,1.0
0,2,daheng_12mm,100,0,0,0,100,Small,0.0,0.6333333333333333
0,3,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
0,3,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
0,3,daheng_12mm,100,0,0,0,100,Small,0.13333333333333333,0.5333333333333333
1,0,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
1,0,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
1,0,daheng_12mm,100,0,0,0,100,Small,1.0,0.9666666666666667
1,1,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
1,1,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
1,1,daheng_12mm,100,0,0,0,100,Small,1.0,0.6666666666666666
1,2,daheng_12mm,100,0,0,0,100,Big,0.0,1.0
1,2,daheng_12mm,100,0,0,0,100,Medium,0.0,1.0
1,2,daheng_12mm,100,0,0,0,100,Small,0.0,0.8666666666666667
1,3,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
1,3,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
1,3,daheng_12mm,100,0,0,0,100,Small,0.0,0.16666666666666666
2,0,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
2,0,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
2,0,daheng_12mm,100,0,0,0,100,Small,1.0,0.8333333333333334
2,1,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
2,1,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
2,1,daheng_12mm,100,0,0,0,100,Small,0.7666666666666667,0.9666666666666667
2,2,daheng_12mm,100,0,0,0,100,Big,0.0,1.0
2,2,daheng_12mm,100,0,0,0,100,Medium,0.0,1.0
2,2,daheng_12mm,100,0,0,0,100,Small,0.0,0.9666666666666667
2,3,daheng_12mm,100,0,0,0,100,Big,1.0,1.0
2,3,daheng_12mm,100,0,0,0,100,Medium,1.0,1.0
2,3,daheng_12mm,100,0,0,0,100,Small,0.8,0.7666666666666667
4,0,daheng_12mm,100,0,0,0,100,Big,0.4,0.7666666666666667
4,0,daheng_12mm,100,0,0,0,100,Medium,0.13333333333333333,0.9
4,0,daheng_12mm,100,0,0,0,100,Small,0.0,0.0
4,1,daheng_12mm,100,0,0,0,100,Big,0.26666666666666666,1.0
4,1,daheng_12mm,100,0,0,0,100,Medium,0.06666666666666667,1.0
4,1,daheng_12mm,100,0,0,0,100,Small,0.0,0.0
4,2,daheng_12mm,100,0,0,0,100,Big,0.0,0.36666666666666664
4,2,daheng_12mm,100,0,0,0,100,Medium,0.0,0.7
4,2,daheng_12mm,100,0,0,0,100,Small,0.0,0.43333333333333335
4,3,daheng_12mm,100,0,0,0,100,Big,0.0,0.8333333333333334
4,3,daheng_12mm,100,0,0,0,100,Medium,0.0,0.6
4,3,daheng_12mm,100,0,0,0,100,Small,0.0,0.0
0,0,daheng_12mm,100,0,0,45,100,Big,0.9333333333333333,0.0
0,0,daheng_12mm,100,0,0,45,100,Medium,0.16666666666666666,0.0
0,0,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
0,1,daheng_12mm,100,0,0,45,100,Big,0.8666666666666667,0.8666666666666667
0,1,daheng_12mm,100,0,0,45,100,Medium,0.0,0.0
0,1,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
0,2,daheng_12mm,100,0,0,45,100,Big,0.0,0.7666666666666667
0,2,daheng_12mm,100,0,0,45,100,Medium,0.0,0.0
0,2,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
0,3,daheng_12mm,100,0,0,45,100,Big,0.9333333333333333,0.7666666666666667
0,3,daheng_12mm,100,0,0,45,100,Medium,0.0,0.9666666666666667
0,3,daheng_12mm,100,0,0,45,100,Small,0.0,0.03333333333333333
1,0,daheng_12mm,100,0,0,45,100,Big,0.0,0.7333333333333333
1,0,daheng_12mm,100,0,0,45,100,Medium,1.0,0.0
1,0,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
1,1,daheng_12mm,100,0,0,45,100,Big,0.23333333333333334,0.1
1,1,daheng_12mm,100,0,0,45,100,Medium,0.0,0.03333333333333333
1,1,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
1,2,daheng_12mm,100,0,0,45,100,Big,0.0,0.0
1,2,daheng_12mm,100,0,0,45,100,Medium,0.0,0.0
1,2,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
1,3,daheng_12mm,100,0,0,45,100,Big,0.0,0.03333333333333333
1,3,daheng_12mm,100,0,0,45,100,Medium,0.0,0.0
1,3,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
2,0,daheng_12mm,100,0,0,45,100,Big,1.0,0.0
2,0,daheng_12mm,100,0,0,45,100,Medium,0.7666666666666667,0.0
2,0,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
2,1,daheng_12mm,100,0,0,45,100,Big,0.5,0.6333333333333333
2,1,daheng_12mm,100,0,0,45,100,Medium,0.16666666666666666,0.13333333333333333
2,1,daheng_12mm,100,0,0,45,100,Small,0.0,0.0
2,2,daheng_12mm,100,0,0,45,100,Big,0.0,0.8666666666666667
