Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Size,Lighting,Unprocessed Accuracy,Processed Accuracy
0,0,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
0,0,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
0,0,daheng_6mm,50,100,0,0,100,Small,light,1.0,0.9333333333333333
0,1,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
0,1,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
0,1,daheng_6mm,50,100,0,0,100,Small,light,0.0,0.13333333333333333
0,2,daheng_6mm,50,100,0,0,100,Big,light,0.0,1.0
0,2,daheng_6mm,50,100,0,0,100,Medium,light,0.0,1.0
0,2,daheng_6mm,50,100,0,0,100,Small,light,0.0,0.6
0,3,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
0,3,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
0,3,daheng_6mm,50,100,0,0,100,Small,light,1.0,1.0
1,0,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
1,0,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
1,0,daheng_6mm,50,100,0,0,100,Small,light,1.0,1.0
1,1,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
1,1,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
1,1,daheng_6mm,50,100,0,0,100,Small,light,1.0,1.0
1,2,daheng_6mm,50,100,0,0,100,Big,light,0.0,1.0
1,2,daheng_6mm,50,100,0,0,100,Medium,light,0.0,1.0
1,2,daheng_6mm,50,100,0,0,100,Small,light,0.0,0.7
1,3,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
1,3,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
1,3,daheng_6mm,50,100,0,0,100,Small,light,1.0,1.0
2,0,daheng_6mm,50,100,0,0,100,Big,light,1.0,1.0
2,0,daheng_6mm,50,100,0,0,100,Medium,light,1.0,1.0
2,0,daheng_6mm,50,100,0,0,100,Small,light,1.0,1.0
