Code,Ground truth
000,23.86495017
001,6.792401358
002,05962.17834
003,178059243.6
010,5341.907826
011,8610295.743
012,52.13486907
013,09326487.15
020,3851.496270
021,250749136.8
022,04685217.39
023,17064935.82
100,392.7516084
101,734251980.6
102,2483.015679
103,293748560.1
110,495031.8276
111,7.264109583
112,964830.1275
113,513.0629748
120,58.74102963
121,3460928.157
122,1.269503847
123,20.53894617
200,023486.5197
201,4308621.579
202,960452.8713
203,215.7608394
210,1.904357286
211,869.7450231
212,09.32781546
213,816039.4275
220,54908.76321
221,92368504.17
222,90735.26148
223,08.91364257
400,32674.80195
401,1467593.820
402,097361.8254
403,16082.59743
410,6184.273059
411,96.21038574
412,098672154.3
413,14762890.35
420,3012985.764
421,809.2361745
422,6209453.178
423,86.13542097
